nome,rg,cpf,dataNascimento,dataAdmissao,cargo
Gilmar Pinho,212212345,31405863021,10/17/1988,01/18/1972,Analista Financeiro
Juliano Barreto,302345176,52070860260,11/27/1967,06/18/2020,Atendente
Benedito Maciel,222204023,52233204689,12/08/1997,11/21/1972,Auxiliar de expedição
Fabrício Câmara,202025366,04114714499,01/18/1976,06/26/1973,Auxiliar de produção
Carlos Matos,413221611,47287503107,06/18/1995,10/12/1975,Copeiro
Henrique Cavalcanti,201013551,87812165468,01/19/1994,10/17/1989,Nutricionista
Arthur Pinheiro,301340171,55357386030,09/29/1991,12/08/1977,Promotor de vendas
Moacir Chaves,312142171,43258662053,11/21/1954,12/05/1985,Assistente social
Aurélio Castilho,413231562,65002034567,11/25/2001,02/08/1981,Enfermeiro
Túlio Cavalcanti,222345342,13221362557,10/28/1981,11/04/1993,Auxiliar Administrativo
Cauã Alencar,103322747,05426044260,06/26/1968,09/07/2016,Recepcionista
Fabiano Simões,312225416,58851844704,12/17/1975,05/02/2006,Assistente Administrativo
Manoel Caetano,122225119,47702652070,01/27/2003,11/07/2017,Advogado
Bernardo Sanches,210111057,10316547557,07/06/2001,01/03/1986,Vendedor
Fabiano Luz,311113667,71350506737,01/19/1989,09/25/1981,Doutor médico
Sérgio Fontes,221334154,36608504110,05/11/1964,08/26/1986,Enfermeira
Edson Rosário,211303719,55448682634,10/29/1959,12/02/1990,Recepcionista
Adriano Yamada,321242373,62727243570,10/20/1978,11/27/1991,Assistente Administrativo
Liana Saraiva,213044018,33751762795,05/13/1987,01/19/1972,Garçom
Débora Gonçalves,302133586,40600756405,01/09/1964,05/11/1973,Advogado
Edna Boaventura,320221258,10106523201,09/23/1979,10/29/1970,Assistente Administrativo
Adriana Arruda,411111528,53705843621,09/25/1996,05/13/2019,Vendedor
Clara Fontana,303321313,24842348135,08/26/1959,09/23/1971,Enfermeiro
Aline Moreira,223313221,72517641307,12/02/1974,12/17/1983,Cabeleireiro
Mauro Delgado,312232408,45748052857,11/27/1992,07/06/1989,Enfermeiro
Gilmar Castro,211242421,00873442628,12/05/1957,01/05/1989,Engenheiro Civil
Henrique Braga,313214001,63247202684,02/08/1984,05/11/1981,Atendente
Breno Simões,403221614,83064152726,11/04/1998,08/12/1996,Advogado
Tiago Santana,121045560,32021135853,09/07/1952,09/02/2012,Professor
Luciano Silveira,421356510,47162480110,10/12/1983,05/08/2019,Artista (Cantor)
Ivone Ambrósio,321231028,26146128554,01/05/1984,10/08/1992,Auxiliar Administrativo
Clarissa Borges,202235324,32052746013,05/11/1977,11/08/2015,Jogador de futebol
Nicole Hamamura,111043670,83426328810,08/12/1996,03/02/2018,Motorista
Vitória Padilha,321033036,60621458147,09/02/1997,10/05/1994,Policial
Patrícia Branco,122341338,12170356215,05/08/1954,02/05/2018,Carteiro
Bruna Barreto,311345645,51083034405,05/02/1972,01/09/1972,Pedreiro
Ronaldo Rodrigues,321443019,22507765208,11/07/1959,10/05/2013,Digitador
Alessandro Bastos,111131315,18035173103,01/03/1974,09/10/1974,Fazendeiro
Émerson Costa,301256421,53840685150,10/08/1991,11/03/1987,Dentista
Ângelo Bosco,203213452,73717616005,10/05/1953,05/05/1972,Administrador de empresa
Enrico Bitencourt,413344125,27887485746,05/05/1957,11/08/1997,Advogado
Luciano Tavares,321103439,34176400161,11/03/1963,01/06/1981,Agente de acompanhamento de comboios
Isabela Cordeiro,210213061,44354112884,05/05/1965,10/09/2009,Agente oficial da propriedade industrial
Manoela Peres,321310688,18610133370,11/08/1983,05/05/1993,Ajudante de cozinheiro (marítimo)
Nicole Linhares,211014163,84280521662,11/08/1955,05/06/1997,Ajudante de maquinista
Alícia Kanashiro,420256222,33325641024,01/06/2000,09/01/2020,Analista de sementes
Olívia Furtado,102113749,51615870326,06/08/1971,07/18/2009,Anatomia patológica
Jéssica Melo,212105681,00477316808,01/01/1998,10/18/2018,Anestesiologia
Fernando Teixeira,211344266,86701185134,05/08/1968,03/10/1989,Angiologia/Cirurgia vascular
Paulo Conceição,212051131,26674153370,03/02/1987,02/11/2012,Aplicador especializado de produtos fitofarmacêuticos
Arthur Castro,310015042,17687614429,10/05/1950,02/05/1984,Arquitéto
Renato Bosco,112254172,87534648858,02/05/1992,09/08/1973,Autor de projeto
Kléber Paz,213405222,75621300190,01/09/1975,06/08/1972,Biólogo
Rafael Rosário,212444773,66285385246,09/10/1962,01/01/2019,Cardiologista
Neusa Serrano,213154444,32845732325,03/10/2000,05/30/1986,Cardiologista pediátrica
Zélia Ramos,121344654,87726738774,10/09/1951,05/16/1970,Cirurgião cardiotorácica
Isadora Fonseca,202214242,44775635239,05/05/1982,02/13/2015,Cirurgião cardíaca
Eliana Borges,202335239,16362857321,05/06/1981,03/17/1989,Cirurgião geral
Raquel Magalhães,211400269,43885876132,09/01/2000,04/27/2012,Cirurgião maxilo-facial
Rebeca Prestes,112321732,06642301722,02/11/1985,10/08/1973,Cirurgião pediátrica
Jurandir Bitencourt,323231457,46743583707,02/05/1961,07/18/1985,Cirurgião plástica,estética e reconstrutiva
Pablo Belluci,211326525,50181782219,09/08/1980,02/18/2001,Cirurgião torácica
Diego Bezerra,311151462,05182057385,07/18/1958,08/19/2021,Condutor de mercadorias perigosas
Rafael Cunha,420422079,17176278709,10/18/1953,05/08/2017,Condutor de transporte de animais de curta duração
Antônio Dutra,410041646,40037080407,06/19/1974,05/05/2012,Condutor de transportes de animais de longa duração
Mateus Magalhães,413113723,56058630452,11/29/1963,06/19/2011,Conselheiro de segurança
Odete Gonçalves,320244143,74011815845,02/21/1975,11/29/2013,Contabilista certificado
Evelyn Fontana,412144104,23328574786,05/25/1984,02/21/1989,Contramestre
Miriam Salles,200235102,47624017490,11/28/1987,05/25/2009,Controlador de tráfego aéreo
Milena Dias,400245553,58047522191,11/26/1963,11/28/1972,Autoridade Nacional da Aviação Civil (ANAC)
Cíntia Medeiras,101201163,66333522554,03/17/1987,11/26/1987,Controlador de tráfego marítimo
Mônica Mendes,312035056,80150572050,04/27/1994,09/07/2020,Coordenador de mergulho
Sandro Castilho,212411639,77613012123,10/08/1976,01/01/1981,Coordenador de projeto
Bernardo Nakamura,212244358,58272647761,07/18/2002,07/07/2018,Cozinheiro (Profissão marítima)
Douglas Moraes,102232301,76434334532,02/18/1974,01/15/2002,Dentistas especialista (Cirurgia oral)
Vítor Ferreira,402011430,53156018201,08/19/1982,10/11/1999,Dentistas especialista (Ortodôncia)
Alberto Espíndola,302133562,51314183486,09/07/1995,02/10/1972,Dermatovenereologia
Tadeu Lópes,321151112,67273007471,01/01/1964,10/06/1970,Engenheiro técnico alimentar
Nelson Bosco,311206785,66540208049,07/07/1994,08/24/2019,Engenheiro técnico civil
Evandro Álvarez,111326618,87681750860,01/15/1959,11/01/1999,Engenheiro técnico de ambiente
Sidnei Guerra,122116732,43082681760,05/30/1981,05/28/1971,Dietista
Benedito Sato,311246539,83344325000,05/16/1959,04/24/1982,Engenheiro técnico geotécnico e de minas
Raul Pires,210324612,34276872448,02/13/1983,12/22/2003,Engenheiro flor
Osvaldo Vila,421414534,42557736619,10/11/1951,11/26/1973,Ginecologia e obstetrícia
Vitor Albuquerque,312130338,63385426260,02/10/1976,05/11/1979,Hematologia clínica
Osvaldo Conceição,111034322,30643287787,10/06/1985,07/21/2018,Higienista oral
Giovane Ruiz,222015275,26263104252,08/24/1960,07/28/1998,Imuno-alergologia
Cauê Medeiros,212416042,85480366300,11/01/1975,02/04/2019,Dietista
Osvaldo Moraes,211041439,16748513839,05/28/1979,04/25/1981,Docente/Professor do ensino superior politécnico
Luiz Correia,421345469,77230760100,04/24/1971,09/04/2020,Farmacêutico especialista em farmácia hospitalar
Caroline Álvarez,211111363,51236303253,12/22/1986,02/16/1980,Docente/Professor do ensino superior universitário
Benedita Batista,211343638,86522318180,11/26/1982,07/24/1979,Economista
Roberta Farias,303133363,54274823857,05/11/1994,05/15/2000,Enólogoestal
Benedita Neves,301135228,43888727251,07/21/1983,05/24/2004,Engenheiro geológo e de minas
Ágata Soares,202444648,55231823112,07/28/2002,07/31/1987,Docente/Professor do ensino superior politécnico
Vanessa Santos,312135312,65576860624,02/04/1952,09/27/1976,Docente/Professor do ensino superior universitário
Artur Cabral,413232189,61862424470,04/25/1964,12/31/1989,Engenheiro técnico de electrónica e telecomunicações
Saulo Chaves,113122524,60857082035,09/04/1967,02/02/1989,Engenheiro técnico de energia e sistemas de potência
Oscar Padilha,202343248,85511512079,02/16/1989,01/12/1996,Engenheiro técnico de informática
Arthur Assunção,121242420,00505700301,07/24/1956,08/06/1971,Economista
Rodolfo Ramos,110435345,68388741560,05/15/1975,07/21/2018,Engenheiro do ambiente
Jonas Ramos,211305546,05310702474,05/24/1974,09/04/2020,Engenheiro electrotécnico
Sabrina Rosa,110155464,23256847250,07/31/2001,02/16/1980,Engenheiro geógrafo
Miriam Fagundes,221242260,67314574693,09/27/1969,07/24/1979,Engenheiro informático
Melissa Maciel,120433564,03133567853,12/31/1979,08/12/1987,Engenheiro mecânico
Laís Conceição,320045626,51405338555,02/02/1989,10/27/1976,Estomatologia
