nome,rg,cpf,dataNascimento,dataAdmissao,cargo,Status,Observacao
Juliano Barreto,302345176,52070860260,11/27/1967,06/18/2020,Atendente,OK,Concluido com sucesso
Benedito Maciel,222204023,52233204689,12/08/1997,11/21/1972,Auxiliar de expedição,OK,Concluido com sucesso
Fabrício Câmara,202025366,04114714499,01/18/1976,06/26/1973,Auxiliar de produção,OK,Concluido com sucesso
Carlos Matos,413221611,47287503107,06/18/1995,10/12/1975,Copeiro,OK,Concluido com sucesso
Henrique Cavalcanti,201013551,87812165468,01/19/1994,10/17/1989,Nutricionista,OK,Concluido com sucesso
Arthur Pinheiro,301340171,55357386030,09/29/1991,12/08/1977,Promotor de vendas,OK,Concluido com sucesso
Moacir Chaves,312142171,43258662053,11/21/1954,12/05/1985,Assistente social,OK,Concluido com sucesso
Aurélio Castilho,413231562,65002034567,11/25/2001,02/08/1981,Profissões mais buscadas,OK,Concluido com sucesso
Túlio Cavalcanti,222345342,13221362557,10/28/1981,11/04/1993,Auxiliar Administrativo,OK,Concluido com sucesso
Cauã Alencar,103322747,05426044260,06/26/1968,09/07/2016,Recepcionista,OK,Concluido com sucesso
Fabiano Simões,312225416,58851844704,12/17/1975,05/02/2006,Assistente Administrativo,OK,Concluido com sucesso
Manoel Caetano,122225119,47702652070,01/27/2003,11/07/2017,Advogado,OK,Concluido com sucesso
Bernardo Sanches,210111057,10316547557,07/06/2001,01/03/1986,Vendedor,OK,Concluido com sucesso
Fabiano Luz,311113667,71350506737,01/19/1989,09/25/1981,Doutor médico,OK,Concluido com sucesso
Sérgio Fontes,221334154,36608504110,05/11/1964,08/26/1986,Enfermeira,OK,Concluido com sucesso
Edson Rosário,211303719,55448682634,10/29/1959,12/02/1990,Recepcionista,OK,Concluido com sucesso
Adriano Yamada,321242373,62727243570,10/20/1978,11/27/1991,Assistente Administrativo,OK,Concluido com sucesso
Liana Saraiva,213044018,33751762795,05/13/1987,01/19/1972,Garçom,OK,Concluido com sucesso
Débora Gonçalves,302133586,40600756405,01/09/1964,05/11/1973,Advogado,OK,Concluido com sucesso
Edna Boaventura,320221258,10106523201,09/23/1979,10/29/1970,Profissões mais buscadas,OK,Concluido com sucesso
Adriana Arruda,411111528,53705843621,09/25/1996,05/13/2019,Vendedor,OK,Concluido com sucesso
Clara Fontana,303321313,24842348135,08/26/1959,09/23/1971,Enfermeiro,OK,Concluido com sucesso
Aline Moreira,223313221,72517641307,12/02/1974,12/17/1983,Cabeleireiro,OK,Concluido com sucesso
Mauro Delgado,312232408,45748052857,11/27/1992,07/06/1989,Enfermeiro,OK,Concluido com sucesso
Gilmar Castro,211242421,00873442628,12/05/1957,01/05/1989,Engenheiro Civil,OK,Concluido com sucesso
Henrique Braga,313214001,63247202684,02/08/1984,05/11/1981,Atendente,OK,Concluido com sucesso
Breno Simões,403221614,83064152726,11/04/1998,08/12/1996,Advogado,OK,Concluido com sucesso
Tiago Santana,121045560,32021135853,09/07/1952,09/02/2012,Professor,OK,Concluido com sucesso
Luciano Silveira,421356510,47162480110,10/12/1983,05/08/2019,Artista (Cantor),OK,Concluido com sucesso
Ivone Ambrósio,321231028,26146128554,01/05/1984,10/08/1992,Auxiliar Administrativo,OK,Concluido com sucesso
Clarissa Borges,202235324,32052746013,05/11/1977,11/08/2015,Jogador de futebol,OK,Concluido com sucesso
Nicole Hamamura,111043670,83426328810,08/12/1996,03/02/2018,Motorista,OK,Concluido com sucesso
Vitória Padilha,321033036,60621458147,09/02/1997,10/05/1994,Policial,OK,Concluido com sucesso
Patrícia Branco,122341338,12170356215,05/08/1954,02/05/2018,Carteiro,OK,Concluido com sucesso
Bruna Barreto,311345645,51083034405,05/02/1972,01/09/1972,Pedreiro,OK,Concluido com sucesso
Ronaldo Rodrigues,321443019,22507765208,11/07/1959,10/05/2013,Digitador,OK,Concluido com sucesso
Alessandro Bastos,111131315,18035173103,01/03/1974,09/10/1974,Fazendeiro,OK,Concluido com sucesso
Émerson Costa,301256421,53840685150,10/08/1991,11/03/1987,Dentista,OK,Concluido com sucesso
Ângelo Bosco,203213452,73717616005,10/05/1953,05/05/1972,Administrador de empresa,OK,Concluido com sucesso
Enrico Bitencourt,413344125,27887485746,05/05/1957,11/08/1997,Advogado,OK,Concluido com sucesso
Luciano Tavares,321103439,34176400161,11/03/1963,01/06/1981,Agente de acompanhamento de comboios,OK,Concluido com sucesso
Isabela Cordeiro,210213061,44354112884,05/05/1965,10/09/2009,Agente oficial da propriedade industrial,OK,Concluido com sucesso
Manoela Peres,321310688,18610133370,11/08/1983,05/05/1993,Ajudante de cozinheiro (marítimo),OK,Concluido com sucesso
Nicole Linhares,211014163,84280521662,11/08/1955,05/06/1997,Ajudante de maquinista,OK,Concluido com sucesso
