nome,cpf,Status,Observacao
Gilmar Pinho,314.058.630-21,OK,Concluido com sucesso
Juliano Barreto,520.708.602-60,OK,Concluido com sucesso
Benedito Maciel,522.332.046-89,OK,Concluido com sucesso
Fabrício Câmara,041.147.144-99,OK,Concluido com sucesso
Carlos Matos,472.875.031-07,OK,Concluido com sucesso
Henrique Cavalcanti,878.121.654-68,OK,Concluido com sucesso
Arthur Pinheiro,553.573.860-30,OK,Concluido com sucesso
Moacir Chaves,432.586.620-53,OK,Concluido com sucesso
Aurélio Castilho,650.020.345-67,OK,Concluido com sucesso
Túlio Cavalcanti,132.213.625-57,OK,Concluido com sucesso
Cauã Alencar,054.260.442-60,OK,Concluido com sucesso
Fabiano Simões,588.518.447-04,OK,Concluido com sucesso
Manoel Caetano,477.026.520-70,OK,Concluido com sucesso
Bernardo Sanches,103.165.475-57,OK,Concluido com sucesso
Fabiano Luz,713.505.067-37,OK,Concluido com sucesso
Sérgio Fontes,366.085.041-10,OK,Concluido com sucesso
Edson Rosário,554.486.826-34,OK,Concluido com sucesso
Adriano Yamada,627.272.435-70,OK,Concluido com sucesso
Liana Saraiva,337.517.627-95,OK,Concluido com sucesso
Débora Gonçalves,406.007.564-05,OK,Concluido com sucesso
Edna Boaventura,101.065.232-01,OK,Concluido com sucesso
Adriana Arruda,537.058.436-21,OK,Concluido com sucesso
Clara Fontana,248.423.481-35,OK,Concluido com sucesso
Aline Moreira,725.176.413-07,OK,Concluido com sucesso
Mauro Delgado,457.480.528-57,OK,Concluido com sucesso
Gilmar Castro,008.734.426-28,OK,Concluido com sucesso
Henrique Braga,632.472.026-84,OK,Concluido com sucesso
Breno Simões,830.641.527-26,OK,Concluido com sucesso
Tiago Santana,320.211.358-53,OK,Concluido com sucesso
Luciano Silveira,471.624.801-10,OK,Concluido com sucesso
Ivone Ambrósio,261.461.285-54,OK,Concluido com sucesso
Clarissa Borges,320.527.460-13,OK,Concluido com sucesso
Nicole Hamamura,834.263.288-10,OK,Concluido com sucesso
Vitória Padilha,606.214.581-47,OK,Concluido com sucesso
Patrícia Branco,121.703.562-15,OK,Concluido com sucesso
Bruna Barreto,510.830.344-05,OK,Concluido com sucesso
Ronaldo Rodrigues,225.077.652-08,OK,Concluido com sucesso
Alessandro Bastos,180.351.731-03,OK,Concluido com sucesso
Émerson Costa,538.406.851-50,OK,Concluido com sucesso
Ângelo Bosco,737.176.160-05,OK,Concluido com sucesso
Enrico Bitencourt,278.874.857-46,OK,Concluido com sucesso
Luciano Tavares,341.764.001-61,OK,Concluido com sucesso
Isabela Cordeiro,443.541.128-84,OK,Concluido com sucesso
Manoela Peres,186.101.333-70,OK,Concluido com sucesso
Nicole Linhares,842.805.216-62,OK,Concluido com sucesso
Alícia Kanashiro,333.256.410-24,OK,Concluido com sucesso
Olívia Furtado,516.158.703-26,OK,Concluido com sucesso
Jéssica Melo,004.773.168-08,OK,Concluido com sucesso
Fernando Teixeira,867.011.851-34,OK,Concluido com sucesso
Paulo Conceição,266.741.533-70,OK,Concluido com sucesso
Arthur Castro,176.876.144-29,OK,Concluido com sucesso
Renato Bosco,875.346.488-58,OK,Concluido com sucesso
Kléber Paz,756.213.001-90,OK,Concluido com sucesso
Rafael Rosário,662.853.852-46,OK,Concluido com sucesso
Neusa Serrano,328.457.323-25,OK,Concluido com sucesso
Zélia Ramos,877.267.387-74,OK,Concluido com sucesso
Isadora Fonseca,447.756.352-39,OK,Concluido com sucesso
Eliana Borges,163.628.573-21,OK,Concluido com sucesso
Raquel Magalhães,438.858.761-32,OK,Concluido com sucesso
Rebeca Prestes,066.423.017-22,OK,Concluido com sucesso
Jurandir Bitencourt,467.435.837-07,OK,Concluido com sucesso
Pablo Belluci,501.817.822-19,OK,Concluido com sucesso
Diego Bezerra,051.820.573-85,OK,Concluido com sucesso
Rafael Cunha,171.762.787-09,OK,Concluido com sucesso
Antônio Dutra,400.370.804-07,OK,Concluido com sucesso
Mateus Magalhães,560.586.304-52,OK,Concluido com sucesso
Odete Gonçalves,740.118.158-45,OK,Concluido com sucesso
Evelyn Fontana,233.285.747-86,OK,Concluido com sucesso
Miriam Salles,476.240.174-90,OK,Concluido com sucesso
Milena Dias,580.475.221-91,OK,Concluido com sucesso
Cíntia Medeiras,663.335.225-54,OK,Concluido com sucesso
Mônica Mendes,801.505.720-50,OK,Concluido com sucesso
Sandro Castilho,776.130.121-23,OK,Concluido com sucesso
Bernardo Nakamura,582.726.477-61,OK,Concluido com sucesso
Douglas Moraes,764.343.345-32,OK,Concluido com sucesso
Vítor Ferreira,531.560.182-01,OK,Concluido com sucesso
Alberto Espíndola,513.141.834-86,OK,Concluido com sucesso
Tadeu Lópes,672.730.074-71,OK,Concluido com sucesso
Nelson Bosco,665.402.080-49,OK,Concluido com sucesso
Evandro Álvarez,876.817.508-60,OK,Concluido com sucesso
Sidnei Guerra,430.826.817-60,OK,Concluido com sucesso
Benedito Sato,833.443.250-00,OK,Concluido com sucesso
Raul Pires,342.768.724-48,OK,Concluido com sucesso
Osvaldo Vila,425.577.366-19,OK,Concluido com sucesso
Vitor Albuquerque,633.854.262-60,OK,Concluido com sucesso
Osvaldo Conceição,306.432.877-87,OK,Concluido com sucesso
Giovane Ruiz,262.631.042-52,OK,Concluido com sucesso
Cauê Medeiros,854.803.663-00,OK,Concluido com sucesso
Osvaldo Moraes,167.485.138-39,OK,Concluido com sucesso
Luiz Correia,772.307.601-00,OK,Concluido com sucesso
Caroline Álvarez,512.363.032-53,OK,Concluido com sucesso
Benedita Batista,865.223.181-80,OK,Concluido com sucesso
Roberta Farias,542.748.238-57,OK,Concluido com sucesso
Benedita Neves,438.887.272-51,OK,Concluido com sucesso
Ágata Soares,552.318.231-12,OK,Concluido com sucesso
Vanessa Santos,655.768.606-24,OK,Concluido com sucesso
Artur Cabral,618.624.244-70,OK,Concluido com sucesso
Saulo Chaves,608.570.820-35,OK,Concluido com sucesso
Oscar Padilha,855.115.120-79,OK,Concluido com sucesso
Arthur Assunção,005.057.003-01,OK,Concluido com sucesso
Rodolfo Ramos,683.887.415-60,OK,Concluido com sucesso
Jonas Ramos,053.107.024-74,OK,Concluido com sucesso
Sabrina Rosa,232.568.472-50,OK,Concluido com sucesso
Miriam Fagundes,673.145.746-93,OK,Concluido com sucesso
Melissa Maciel,031.335.678-53,OK,Concluido com sucesso
Laís Conceição,514.053.385-55,OK,Concluido com sucesso
Isadora Guedes,654.372.362-98,OK,Concluido com sucesso
Gabriela Guedes,864.127.247-02,OK,Concluido com sucesso
Antonio Siqueira,482.180.826-97,OK,Concluido com sucesso
Tomás Lemos,870.200.878-50,OK,Concluido com sucesso
Fabiano Saraiva,408.366.857-17,OK,Concluido com sucesso
Rodolfo Peres,018.035.743-30,OK,Concluido com sucesso
Armando Cavalcanti,387.577.867-71,OK,Concluido com sucesso
Ivo Ávila,406.401.850-88,OK,Concluido com sucesso
Maitê Ximenes,753.646.004-08,OK,Concluido com sucesso
Priscila Ximenes,182.811.156-29,OK,Concluido com sucesso
Magali Sanches,117.202.326-36,OK,Concluido com sucesso
Jaqueline Figueiredo,635.487.151-50,OK,Concluido com sucesso
Marisa Guerra,665.611.520-93,OK,Concluido com sucesso
Neusa Paschoal,424.184.374-34,OK,Concluido com sucesso
Gustavo Sanches,753.880.651-20,OK,Concluido com sucesso
Márcio Medeiras,671.182.475-02,OK,Concluido com sucesso
Bernardo Silveira,605.866.272-94,OK,Concluido com sucesso
Ângelo Medina,078.860.523-23,OK,Concluido com sucesso
Maurício Sato,126.326.222-80,OK,Concluido com sucesso
Igor Campos,547.412.581-06,OK,Concluido com sucesso
